score,creditability
557.0,0
337.0,1
504.0,0
404.0,0
495.0,1
389.0,0
460.0,0
385.0,0
510.0,0
403.0,1
432.0,1
341.0,1
441.0,0
505.0,1
440.0,0
415.0,1
483.0,0
428.0,0
384.0,1
425.0,0
534.0,0
502.0,0
542.0,0
471.0,0
472.0,0
485.0,0
471.0,0
503.0,0
456.0,0
417.0,1
441.0,0
407.0,0
446.0,0
493.0,0
440.0,0
368.0,1
364.0,0
434.0,1
471.0,0
432.0,0
393.0,0
435.0,0
460.0,0
415.0,0
426.0,1
476.0,0
400.0,0
457.0,0
481.0,0
427.0,0
403.0,0
435.0,0
433.0,0
431.0,0
468.0,1
481.0,0
473.0,1
392.0,0
412.0,0
375.0,1
451.0,0
500.0,0
449.0,1
301.0,1
392.0,0
526.0,0
445.0,0
419.0,0
398.0,1
369.0,0
376.0,0
512.0,0
542.0,0
420.0,0
404.0,1
541.0,0
368.0,1
481.0,0
359.0,0
385.0,0
472.0,1
466.0,0
416.0,0
468.0,0
490.0,0
461.0,0
445.0,0
406.0,1
433.0,0
461.0,1
494.0,0
486.0,0
459.0,1
406.0,0
487.0,0
344.0,1
498.0,0
424.0,0
393.0,0
455.0,0
433.0,0
367.0,0
444.0,0
449.0,0
437.0,0
437.0,1
477.0,1
432.0,0
403.0,0
466.0,0
518.0,0
418.0,0
402.0,0
371.0,1
452.0,0
386.0,0
344.0,1
474.0,0
416.0,1
451.0,0
440.0,1
450.0,0
428.0,0
542.0,0
413.0,1
460.0,0
459.0,0
438.0,1
470.0,0
459.0,1
337.0,0
355.0,1
461.0,0
485.0,0
289.0,0
482.0,0
407.0,0
515.0,1
491.0,0
479.0,0
460.0,0
368.0,0
395.0,0
416.0,1
396.0,0
349.0,0
523.0,0
513.0,0
398.0,0
485.0,0
504.0,0
478.0,0
350.0,0
392.0,0
395.0,0
430.0,1
532.0,0
472.0,0
462.0,0
522.0,0
439.0,0
453.0,0
471.0,0
512.0,0
400.0,0
468.0,0
430.0,1
414.0,0
403.0,0
438.0,1
481.0,1
429.0,0
423.0,1
449.0,0
443.0,1
417.0,1
471.0,0
529.0,0
478.0,0
525.0,0
394.0,1
416.0,1
480.0,1
441.0,0
452.0,1
460.0,0
549.0,1
585.0,0
416.0,1
473.0,0
521.0,1
372.0,1
419.0,1
458.0,0
339.0,1
495.0,1
497.0,0
518.0,1
416.0,0
429.0,1
520.0,0
429.0,0
414.0,0
417.0,1
495.0,0
450.0,0
518.0,0
426.0,0
381.0,0
497.0,0
508.0,0
