,Unnamed: 0,content
0,0,　　2016年是综艺井喷的一年，《2016年中国网络视听发展研究报告》数据显示，截至2016年11月30日，视频网站备案的网络综艺为618档，6637期。2016年可谓是当之无愧的网络综艺黄金年。“爆款”网综《奇葩说》的第三季继续延续了火热，《火星情报局》、《拜托了冰箱》等网络综艺也都获得了较高的点击率与不俗的口碑，然而这些网络综艺距“现象级”都还有一定的差距。
1,1,　　区别
2,2,　　平台决定了资源的多寡和资本的投入
3,3,　　网络综艺和电视综艺最大的区别在哪？其实是平台。因为平台决定了资源的多寡和资本的投入。所以网综鲜见《奔跑吧兄弟》、《极限挑战》这样动辄就十几位明星同台、从南录到北、出动上百台摄像机乃至航拍的“大制作”。即便今年有《爸爸去哪儿4》全面转向网络播出，也是依托了此前三季打下的坚实受众基础、湖南卫视与芒果TV的资源共享——影响力却也着实不如前三季了。
4,4,　　网络综艺与电视综艺在播出模式、观众群体以及节目板块等方面也都存在差异。在传播上，电视台比网络平台更容易产生爆款。尽管这几年电视综艺也在网站上线，但由于观众观看的时间相对一致，而网络节目的时间较随意，所以同一档节目在同一时间，电视聚集观众的能力要比互联网强。《爸爸去哪儿4》转成网络综艺播出时，虽然也因一些话题而引发讨论，但是因传统受众观看习惯的影响，而网络观看又具有随意性，缺乏即时的、一致的观看体验，而导致没有掀起前几季的全民讨论的热潮。
5,5,　　从受众群体的角度来说，传统的电视综艺也拥有一定体量的、具有固定收视习惯的观众。电视综艺节目的观众一般是以家庭为基准的人群，而大多数网综主要面向的群体是90后，《奇葩说》第一季就表示“40岁以上人群请在90后陪同下观看”，《火星情报局》也将受众瞄准“90后”。有统计数据表明，收看网络综艺节目的观众30岁以下的年轻人占70%。夸张度极高的娱乐表演和网络“梗”的使用，将一部分年龄偏大的综艺观众“拒之门外”。年轻化成为网络综艺最重要的支点。但是目前不论是购买版权还是原创节目，都没能完全调动这部分人群，而传统的电视综艺观众还是习惯于拿起遥控器。当前网络综艺泛滥，电视综艺仍然霸占着大多数受众。
6,6,　　教训
7,7,　　“为污而污”难以维持观众
8,8,　　为了在形式相近而体量巨大的同类节目中获得关注，主持人和嘉宾们开始以打擦边球的争议话题、以低俗化的语言博眼球。如《恶毒梁欢秀》骂周杰伦是垃圾，综艺大咖薛之谦参与节目频频爆出具有深意的“污”语言，甚至一向以正能量令人尊重的传统节目主持人何炅也开始以“何首污”的名号放飞自我。
9,9,　　甚至有个别综艺节目从主题到内容都直逼底线，试图打擦边球来制造噱头博得眼球，如《黄金单身汉》中，陈楚河以“选妃”的模式与25位女性进行约会并挑选。而女性需要使尽浑身解数来获得陈楚河的青睐，日常也都是在等待被陈楚河挑选。这种极其不对等的双方关系也被打上“物化女性”的标签，招致了各方的质疑与批评。无独有偶，号称非诚勿扰原班人马打造，孟非主持的婚恋类网综《美女与极品》由四男四女组成的男女嘉宾在见面当天立即组成CP，在1000平米豪华别墅内共度三天两夜。而为了吸引眼球，节目组不惜设置各种无下限的环节，如富有明显性暗示的环节让男生以选牛奶来选女嘉宾，主持人说是跟女生的生理特征相关……这样“无底线”的运作方式，让即使是观念较为开放的年轻观众们也大呼难以置信。
